"Id";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"ips_panel";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"ppi";"screen_size"
0;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";"macOS";1.37;71379;227;"small"
1;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";"macOS";1.34;47896;128;"small"
2;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"No OS";1.86;30636;141;"medium"
3;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";"macOS";1.83;135195;221;"medium"
4;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";"macOS";1.37;96096;227;"small"
5;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"windows";2.1;21312;100;"medium"
6;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";"macOS";2.04;114018;221;"medium"
7;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";"macOS";1.34;61736;128;"small"
8;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"windows";1.3;79654;157;"medium"
9;"Acer";"Ultrabook";14.0;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;41026;157;"medium"
10;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"No OS";1.86;20987;100;"medium"
11;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"No OS";1.86;18381;141;"medium"
12;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";"macOS";1.83;130002;221;"medium"
13;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"windows";2.2;26581;141;"medium"
14;"Apple";"Ultrabook";12.0;2304;1440;0;1;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";"macOS";0.92;67261;226;"small"
15;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";"macOS";1.37;80908;227;"small"
16;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"windows";2.2;39694;141;"medium"
